# Start of Music
bpm 40

num_parts 2

# Instrument: 

part
num_notes 19245
214.72 d5 0.14
214.86 c5 0.14
215.00 b4 0.14
215.14 c5 0.14
215.28 d5 0.42
215.69 e5 0.14
215.83 d5 0.14
215.97 c5 0.14
216.11 b4 0.14
216.25 a4 0.14
216.39 g4 0.14
216.53 f#4 0.14
216.67 e4 0.14
216.81 g#4 0.14
216.94 a4 0.14
217.08 b4 0.14
217.22 a4 0.14
217.36 e4 0.14
217.50 a4 0.14
217.64 b4 0.14
217.78 c5 0.14
217.92 a4 0.14
218.06 d#5 0.14
218.19 e5 0.14
218.33 f#5 0.14
218.47 e5 0.14
218.61 d#5 0.14
218.75 c#5 0.14
218.89 b4 1.25
220.14 d#5 0.14
220.00 g4 0.42
220.42 f#4 0.14
220.28 e5 0.42
220.69 d#4 0.14
220.56 g4 0.42
220.97 f#3 0.14
220.83 e4 0.42
221.25 d#3 0.14
221.39 e3 0.28
221.81 g#5 0.14
221.94 a5 0.42
222.36 g#4 0.14
222.50 a4 0.42
222.92 g#3 0.14
223.06 a3 0.42
223.47 b3 0.14
223.61 c4 0.14
223.75 f#4 0.14
223.89 b3 0.14
224.03 d#4 0.14
224.17 e4 0.14
224.31 g4 0.14
224.44 f#4 0.14
224.58 e4 0.14
224.72 d#4 0.14
224.86 a4 0.14
225.00 g4 0.14
225.14 f#4 0.14
225.28 e4 0.14
225.42 d#4 0.14
225.56 e4 0.14
225.69 g4 0.14
225.83 b3 0.14
225.97 a3 0.14
226.94 e5 0.28
227.22 c5 0.28
227.50 e5 0.28
227.78 a5 0.28
228.06 a4 0.28
228.61 d5 0.28
228.89 b4 0.28
229.17 d5 0.28
229.44 g5 0.28
229.72 g4 0.28
230.00 c5 0.14
230.14 a4 0.14
230.28 e4 0.14
230.42 c4 0.14
230.56 a3 0.14
230.69 c4 0.14
230.83 e4 0.14
230.97 a4 0.14
231.11 c5 0.14
231.25 a4 0.14
231.39 c5 0.14
231.53 e5 0.14
231.67 f#5 0.14
231.81 c5 0.14
231.94 a4 0.14
232.08 f#4 0.14
232.22 d4 0.14
232.36 f#4 0.14
232.50 a4 0.14
232.64 c5 0.14
232.78 f#5 0.14
232.92 c5 0.14
233.06 f#5 0.14
233.19 a5 0.14
233.33 b5 0.14
233.47 g5 0.14
233.61 d5 0.14
233.75 b4 0.14
233.89 g4 0.14
234.03 b4 0.14
234.17 d5 0.14
234.31 g5 0.14
234.44 b5 0.14
234.58 f5 0.14
234.72 b5 0.14
234.86 d6 0.14
235.00 e5 0.14
235.14 d6 0.14
235.28 c6 0.14
235.42 e5 0.14
235.56 d5 0.14
235.69 c6 0.14
235.83 b5 0.14
235.97 d5 0.14
236.11 c5 0.14
236.25 e5 0.14
236.39 f#5 0.14
236.53 g5 0.14
236.67 a5 0.14
236.81 c5 0.14
236.94 b4 0.14
237.08 a4 0.14
237.22 b4 0.14
237.36 d5 0.14
237.50 b4 0.14
237.64 g4 0.14
237.78 c5 0.14
237.92 a4 0.14
238.06 g4 0.14
238.19 f#4 0.14
238.33 b4 0.14
238.47 g4 0.14
238.61 f#4 0.14
238.75 e4 0.14
238.89 d4 0.14
239.03 c4 0.14
239.17 b3 0.14
239.31 a3 0.14
239.44 g3 0.55
240.00 f#5 0.14
240.14 g5 0.14
240.28 a5 0.42
240.69 b5 0.14
240.83 a5 0.14
240.97 g5 0.14
241.11 f#5 0.14
241.25 e5 0.14
241.39 d5 0.14
241.53 c5 0.14
241.67 b4 0.14
241.81 c5 0.14
241.94 d5 0.42
242.36 e5 0.14
242.50 d5 0.14
242.64 c5 0.14
242.78 b4 0.14
242.92 a4 0.14
243.06 g4 0.14
243.19 f#4 0.14
243.33 e4 0.14
243.47 g#4 0.14
243.61 a4 0.14
243.75 b4 0.14
243.89 a4 0.14
244.03 e4 0.14
244.17 a4 0.14
244.31 b4 0.14
244.44 c5 0.14
244.58 a4 0.14
244.72 d#5 0.14
244.86 e5 0.14
245.00 f#5 0.14
245.14 e5 0.14
245.28 d#5 0.14
245.42 c#5 0.14
245.56 b4 1.25
246.81 d#5 0.14
246.67 g4 0.42
247.08 f#4 0.14
246.94 e5 0.42
247.36 d#4 0.14
247.22 g4 0.42
247.64 f#3 0.14
247.50 e4 0.42
247.92 d#3 0.14
248.06 e3 0.28
248.47 g#5 0.14
248.61 a5 0.42
249.03 g#4 0.14
249.17 a4 0.42
249.58 g#3 0.14
249.72 a3 0.42
250.14 b3 0.14
250.28 c4 0.14
250.42 f#4 0.14
250.56 b3 0.14
250.69 d#4 0.14
250.83 e4 0.14
250.97 g4 0.14
251.11 f#4 0.14
251.25 e4 0.14
251.39 d#4 0.14
251.53 a4 0.14
251.67 g4 0.14
251.81 f#4 0.14
251.94 e4 0.14
252.08 d#4 0.14
252.22 e4 0.14
252.36 g4 0.14
252.50 b3 0.14
252.64 a3 0.14
253.61 e5 0.28
253.89 c5 0.28
254.17 e5 0.28
254.44 a5 0.28
254.72 a4 0.28
255.28 d5 0.28
255.56 b4 0.28
255.83 d5 0.28
256.11 g5 0.28
256.39 g4 0.28
256.67 c5 0.14
256.81 a4 0.14
256.94 e4 0.14
257.08 c4 0.14
257.22 a3 0.14
257.36 c4 0.14
257.50 e4 0.14
257.64 a4 0.14
257.78 c5 0.14
257.92 a4 0.14
258.06 c5 0.14
258.19 e5 0.14
258.33 f#5 0.14
258.47 c5 0.14
258.61 a4 0.14
258.75 f#4 0.14
258.89 d4 0.14
259.03 f#4 0.14
259.17 a4 0.14
259.31 c5 0.14
259.44 f#5 0.14
259.58 c5 0.14
259.72 f#5 0.14
259.86 a5 0.14
260.00 b5 0.14
260.14 g5 0.14
260.28 d5 0.14
260.42 b4 0.14
260.56 g4 0.14
260.69 b4 0.14
260.83 d5 0.14
260.97 g5 0.14
261.11 b5 0.14
261.25 f5 0.14
261.39 b5 0.14
261.53 d6 0.14
261.67 e5 0.14
261.81 d6 0.14
261.94 c6 0.14
262.08 e5 0.14
262.22 d5 0.14
262.36 c6 0.14
262.50 b5 0.14
262.64 d5 0.14
262.78 c5 0.14
262.92 e5 0.14
263.06 f#5 0.14
263.19 g5 0.14
263.33 a5 0.14
263.47 c5 0.14
263.61 b4 0.14
263.75 a4 0.14
263.89 b4 0.14
264.03 d5 0.14
264.17 b4 0.14
264.31 g4 0.14
264.44 c5 0.14
264.58 a4 0.14
264.72 g4 0.14
264.86 f#4 0.14
265.00 b4 0.14
265.14 g4 0.14
265.28 f#4 0.14
265.42 e4 0.14
265.56 d4 0.14
265.69 c4 0.14
265.83 b3 0.14
265.97 a3 0.14
266.11 g3 0.55
266.67 b4 0.65
267.32 e5 0.08
267.40 d5 0.08
268.30 d5 0.16
