# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 1

# Instrument: Elec. Piano (Classic)

part
num_notes 905
190.50 a4 0.15 0.39
190.80 e5 0.15 0.39
190.80 b4 0.15 0.39
191.10 e5 0.15 0.39
191.10 b4 0.15 0.39
191.40 b4 0.15 0.39
191.40 g4 0.15 0.39
191.70 g4 0.15 0.39
191.70 b4 0.15 0.39
192.00 e4 0.15 0.39
192.00 g4 0.15 0.39
192.30 g4 0.15 0.39
192.30 e4 0.15 0.39
192.60 e5 0.15 0.39
192.60 b4 0.15 0.39
192.90 b4 0.15 0.39
192.90 e5 0.15 0.39
193.20 b4 0.15 0.39
193.20 g4 0.15 0.39
193.50 b4 0.15 0.39
193.50 g4 0.15 0.39
193.80 e4 0.15 0.39
193.80 g4 0.15 0.39
194.10 e4 0.15 0.39
194.10 g4 0.15 0.39
194.40 e5 0.15 0.39
194.40 e5 0.15 0.39
194.40 a5 0.15 0.39
194.70 e5 0.15 0.39
194.70 e5 0.15 0.39
194.70 a5 0.15 0.39
195.00 c#5 0.15 0.39
195.00 e5 0.15 0.39
195.30 e5 0.15 0.39
195.30 c#5 0.15 0.39
195.60 c#5 0.15 0.39
195.60 a4 0.15 0.39
195.90 a4 0.15 0.39
195.90 c#5 0.15 0.39
196.20 e5 0.15 0.39
196.20 a5 0.15 0.39
196.50 e5 0.15 0.39
196.50 a5 0.15 0.39
196.80 c#5 0.15 0.39
196.80 e5 0.15 0.39
197.10 c#5 0.15 0.39
197.10 e5 0.15 0.39
197.40 a4 0.15 0.39
197.40 c#5 0.15 0.39
197.70 a4 0.15 0.39
197.70 c#5 0.15 0.39
198.00 e5 0.15 0.39
198.00 g5 0.15 0.39
198.30 e5 0.15 0.39
198.30 g5 0.15 0.39
198.60 c5 0.15 0.39
198.60 e5 0.15 0.39
198.90 e5 0.15 0.39
198.90 c5 0.15 0.39
199.20 g4 0.15 0.39
199.20 c5 0.15 0.39
199.50 c5 0.15 0.39
199.50 g4 0.15 0.39
199.80 e5 0.15 0.39
199.80 g5 0.15 0.39
200.10 e5 0.15 0.39
200.10 g5 0.15 0.39
200.40 e5 0.15 0.39
200.40 c5 0.15 0.39
200.70 e5 0.15 0.39
200.70 c5 0.15 0.39
201.00 g4 0.15 0.39
201.00 c5 0.15 0.39
201.30 g4 0.15 0.39
201.30 c5 0.15 0.39
201.60 c5 0.15 0.39
201.60 f5 0.15 0.39
201.90 f5 0.15 0.39
201.90 c5 0.15 0.39
202.20 c5 0.15 0.39
202.20 a4 0.15 0.39
202.50 a4 0.15 0.39
202.50 c5 0.15 0.39
202.80 a4 0.15 0.39
202.80 f4 0.15 0.39
203.10 f4 0.15 0.39
203.10 a4 0.15 0.39
203.40 c5 0.15 0.39
203.40 f5 0.15 0.39
203.70 c5 0.15 0.39
204.00 a4 0.15 0.39
204.00 c5 0.15 0.39
204.30 c5 0.15 0.39
204.30 a4 0.15 0.39
204.60 f4 0.15 0.39
204.60 a4 0.15 0.39
204.90 f4 0.15 0.39
204.90 a4 0.15 0.39
205.20 g5 0.15 0.39
205.20 d5 0.15 0.39
205.50 d5 0.15 0.39
205.50 g5 0.15 0.39
205.80 d5 0.15 0.39
205.80 b4 0.15 0.39
206.10 b4 0.15 0.39
206.10 d5 0.15 0.39
206.40 g4 0.15 0.39
206.40 b4 0.15 0.39
206.70 g4 0.15 0.39
206.70 b4 0.15 0.39
207.00 d5 0.15 0.39
207.30 g5 0.15 0.39
207.30 d5 0.15 0.39
207.60 d5 0.15 0.39
207.60 b4 0.15 0.39
207.90 b4 0.15 0.39
207.90 d5 0.15 0.39
208.20 b4 0.15 0.39
208.20 g4 0.15 0.39
208.50 g4 0.15 0.39
208.50 b4 0.15 0.39
208.80 a4 0.15 0.39
209.40 a4 0.15 0.39
209.40 e4 0.15 0.39
209.70 g4 0.15 0.39
210.00 a4 0.15 0.39
210.00 e4 0.15 0.39
210.30 g4 0.15 0.39
210.30 d4 0.15 0.39
210.60 a4 0.15 0.39
210.60 e4 0.15 0.39
210.90 d4 0.15 0.39
210.90 g4 0.15 0.39
211.20 e4 0.15 0.39
211.20 b3 0.15 0.39
211.50 d4 0.15 0.39
211.50 g4 0.15 0.39
211.80 b3 0.15 0.39
211.80 e4 0.15 0.39
212.10 g4 0.15 0.39
212.10 d4 0.15 0.39
212.40 e4 0.15 0.39
212.40 b3 0.15 0.39
212.70 d4 0.15 0.39
212.70 g4 0.15 0.39
213.00 e4 0.15 0.39
213.00 b3 0.15 0.39
213.30 d4 0.15 0.39
213.30 g4 0.15 0.39
213.60 b3 0.15 0.39
213.60 e4 0.15 0.39
213.90 g4 0.15 0.39
213.90 d4 0.15 0.39
214.20 e4 1.35 0.39
214.20 a4 1.35 0.39
end
