# Start of Music
bpm 60

num_parts 13

part
num_notes 1319
113.29 d4 0.22
113.55 f#4 0.30
113.79 d4 0.19
114.06 e5 0.21
114.05 e6 0.24
114.30 e4 0.23
114.06 b3 0.52
114.55 f#5 0.18
114.55 f#6 0.18
114.79 e4 0.25
114.54 g4 0.55
114.80 g6 0.32
114.80 g5 0.45
115.30 e4 0.22
115.05 b3 0.57
115.56 e6 0.18
115.56 e5 0.20
115.79 e4 0.23
115.55 g4 0.47
116.06 c#6 0.24
116.05 c#5 0.25
116.30 e4 0.23
116.05 a3 0.55
116.56 d5 0.18
116.56 d6 0.18
116.81 e4 0.21
116.55 g4 0.53
116.81 e6 0.29
116.81 e5 0.41
117.30 e4 0.22
117.56 a5 0.17
117.56 a4 0.17
117.06 a3 0.70
117.80 e4 0.18
117.55 g4 0.44
117.81 a4 0.22
117.80 a5 0.27
118.31 f#6 0.16
118.31 f#5 0.17
118.31 d4 0.23
118.06 a3 0.57
118.56 f#4 0.30
118.81 d4 0.24
119.30 d4 0.23
119.06 b3 0.55
119.80 d4 0.23
119.55 f#4 0.50
120.29 d4 0.22
120.04 a3 0.55
120.55 f#4 0.32
120.79 d4 0.21
121.05 b5 0.19
121.05 g6 0.19
121.05 b3 0.29
121.31 f#6 0.17
121.31 a5 0.17
121.30 d4 0.21
121.55 g5 0.18
121.55 e6 0.19
121.80 d4 0.22
121.55 f#4 0.49
121.80 g5 0.32
121.80 e6 0.46
122.29 f#6 0.18
122.29 a5 0.18
122.29 d4 0.24
122.05 a3 0.56
122.81 d4 0.23
122.55 f#4 0.49
123.05 b3 0.48
123.30 d4 0.24
123.80 d4 0.23
123.55 f#4 0.50
124.29 d4 0.23
124.05 a3 0.56
124.55 f#4 0.30
124.80 d4 0.21
125.05 b5 0.19
125.05 g6 0.19
125.06 b3 0.26
125.30 f#6 0.18
125.30 a5 0.18
125.30 d4 0.22
125.55 g5 0.18
125.55 e6 0.19
125.80 d4 0.25
125.55 f#4 0.50
125.80 g5 0.25
125.80 e6 0.31
126.31 d4 0.21
126.06 a3 0.53
126.55 a5 0.18
126.55 f#6 0.20
126.82 d4 0.23
126.55 f#4 0.51
126.80 f#5 0.29
126.80 d6 0.58
127.31 d4 0.21
127.07 b3 0.67
127.56 g5 0.18
127.55 e6 0.20
127.80 d4 0.24
127.54 f#4 0.51
128.31 d4 0.23
128.05 a3 0.73
128.81 d4 0.23
128.55 f#4 0.51
127.81 d5 1.48
127.80 a5 1.54
129.31 d4 0.22
129.56 f#4 0.28
129.06 b3 0.78
129.80 d4 0.22
130.06 e6 0.19
130.04 a5 0.29
130.05 d6 0.32
130.31 d4 0.22
130.07 a3 0.47
130.57 a5 0.16
130.55 d6 0.19
130.55 f#6 0.20
130.55 e4 0.32
130.79 d4 0.23
130.80 g6 0.28
130.80 a5 0.31
130.80 d6 0.56
131.05 a3 0.32
131.29 d4 0.23
131.55 a5 0.19
131.55 e6 0.19
131.55 d6 0.19
131.55 e4 0.34
131.80 d4 0.20
132.05 e5 0.24
132.06 c#6 0.46
132.06 a3 0.47
132.30 c#4 0.23
132.55 f#5 0.20
132.55 d6 0.21
132.79 c#4 0.22
132.80 g5 0.21
132.55 e4 0.48
132.80 e6 0.30
133.06 a3 0.30
133.30 a5 0.21
133.31 c#4 0.23
133.56 d6 0.27
133.56 e4 0.30
133.80 c#4 0.19
133.80 e6 0.20
134.06 f6 0.21
134.05 a#5 0.28
134.06 f5 0.29
134.30 e6 0.20
134.05 a#3 0.46
134.56 d6 0.18
134.55 f5 0.19
134.56 a#5 0.19
134.32 f4 0.68
134.81 f5 0.22
134.81 c6 0.44
134.81 a#5 0.45
135.05 a#4 0.22
135.29 f5 0.18
135.54 a4 0.22
135.79 a#4 0.20
136.05 a4 0.21
136.05 f2 0.24
136.05 c5 0.27
136.30 f3 0.18
136.55 a4 0.21
136.55 f5 0.21
136.56 c5 0.21
136.56 a3 0.22
136.80 c4 0.21
137.05 e5 0.23
137.05 c3 0.25
137.05 g4 0.28
137.30 c4 0.18
137.30 d5 0.20
137.54 d5 0.23
137.55 g4 0.25
137.55 e4 0.26
137.80 c4 0.18
137.80 c5 0.22
138.06 d5 0.22
138.05 f4 0.23
138.05 a#4 0.25
138.30 c5 0.19
138.56 f4 0.20
138.06 a#2 0.70
138.56 c5 0.20
138.55 a#4 0.26
138.81 a#3 0.18
139.06 a4 0.23
139.06 f2 0.23
139.06 f4 0.25
139.31 f3 0.18
139.06 c5 0.45
139.56 f4 0.19
139.55 a3 0.26
139.56 a4 0.29
139.80 c4 0.18
139.81 a#4 0.18
140.06 a4 0.21
140.06 c5 0.21
140.06 f4 0.21
140.06 f2 0.22
140.30 c3 0.18
140.55 f4 0.18
140.55 a4 0.18
140.55 c5 0.19
140.55 f5 0.20
140.81 a3 0.17
140.55 c4 0.49
141.05 g5 0.22
141.06 c3 0.24
141.05 g4 0.30
141.05 c5 0.30
141.30 g3 0.19
141.30 f5 0.20
141.56 e5 0.21
141.56 e4 0.25
141.55 g4 0.29
141.81 c4 0.17
141.81 d5 0.20
142.05 f4 0.24
142.05 a#4 0.29
142.06 d5 0.30
142.31 e5 0.21
142.55 f4 0.19
142.55 a#4 0.21
142.55 f5 0.22
142.06 a#2 0.71
143.05 c5 0.22
143.05 f5 0.23
143.06 f2 0.24
143.06 a4 0.28
143.54 a4 0.21
143.55 g5 0.23
143.55 a3 0.26
143.80 c4 0.19
143.80 a5 0.20
144.05 d5 0.20
144.05 f5 0.20
144.05 a#5 0.20
144.04 a#3 0.34
144.29 d5 0.20
144.05 a#2 0.45
144.29 a#5 0.21
144.29 f5 0.22
144.54 f5 0.18
144.54 d5 0.22
144.54 a5 0.24
144.79 a#3 0.19
144.79 g5 0.21
145.04 c5 0.24
145.05 e5 0.34
145.05 g5 0.45
145.29 c4 0.25
145.54 c5 0.22
145.54 f5 0.25
145.04 c3 0.78
145.79 c4 0.20
145.79 g5 0.21
146.05 c5 0.19
146.05 a5 0.20
146.05 f5 0.21
146.06 f4 0.30
146.06 f3 0.31
146.30 c5 0.19
146.29 a5 0.20
146.29 f5 0.21
146.55 g5 0.20
146.55 c5 0.20
146.55 e5 0.21
146.56 e4 0.21
146.56 e3 0.25
